station_origin,station_destination,flows,population,jobs,distance
South Kenton,Leicester Square,1,1073,8847,17450.30086
Goldhawk Road,Hatton Cross,2,1347,1219,17450.57563
Hatton Cross,Goldhawk Road,0,1357,370,17450.57563
Camden Town,South Wimbledon,2,3330,1361,17450.76974
South Wimbledon,Camden Town,16,3783,6348,17450.76974
Goodge Street,High Barnet,1,366,953,17451.25528
High Barnet,Goodge Street,62,3271,6457,17451.25528
Kew Gardens,Tower Hill,19,2241,8286,17451.92171
Tower Hill,Kew Gardens,9,8501,792,17451.92171
Covent Garden,South Woodford,0,424,766,17452.22212
South Woodford,Covent Garden,2,4138,4355,17452.22212
Finchley Central,Stepney Green,1,6268,1879,17452.50166
Stepney Green,Finchley Central,0,2731,1921,17452.50166
Canons Park,Regent's Park,2,2315,3364,17452.62536
Regent's Park,Canons Park,0,371,526,17452.62536
Kew Gardens,Liverpool Street,17,2241,61122,17453.69395
Liverpool Street,Kew Gardens,7,31473,792,17453.69395
Dagenham Heathway,Tower Hill,12,3372,8286,17454.06029
Tower Hill,Dagenham Heathway,0,8501,1108,17454.06029
Richmond,South Harrow,1,5157,387,17454.2719
South Harrow,Richmond,48,1516,5397,17454.2719
Bank and Monument,North Ealing,0,29494,332,17458.16586
North Ealing,Bank and Monument,3,505,78549,17458.16586
Neasden,Acton Town,0,2333,2202,17460.26356
Burnt Oak,Edgware Road,11,3021,6868,17461.30617
Edgware Road,Burnt Oak,0,2841,649,17461.30617
Preston Road,Watford,12,2358,961,17462.29555
Watford,Preston Road,5,1400,411,17462.29555
North Greenwich,West Hampstead,42,10931,5856,17462.69188
West Hampstead,North Greenwich,31,10371,6276,17462.69188
Gunnersbury,Preston Road,0,2274,411,17463.30444
Preston Road,Gunnersbury,0,2358,4775,17463.30444
Clapham South,Golders Green,1,6636,1871,17464.72756
Golders Green,Clapham South,3,4792,1513,17464.72756
Wembley Central,Wandsworth Road,0,2246,498,17465.43301
Canary Wharf,Shepherd's Bush Market,0,14632,416,17466.3457
Shepherd's Bush Market,Canary Wharf,11,1798,58772,17466.3457
Leytonstone,Pimlico,13,6690,5585,17466.398
Pimlico,Leytonstone,0,3917,1844,17466.398
Bounds Green,Leyton,1,4445,1447,17466.65697
Leyton,Bounds Green,1,7651,778,17466.65697
Aldgate East,Barkingside,0,3172,262,17466.84992
Barkingside,Aldgate East,8,1301,7932,17466.84992
Green Park,Snaresbrook,0,2066,512,17467.45693
Snaresbrook,Green Park,14,1780,26754,17467.45693
Ealing Common,Farringdon,6,2003,25592,17468.2752
Farringdon,Ealing Common,0,5052,915,17468.2752
Finchley Road & Frognal,Wanstead Park,0,1136,416,17468.82111
Wanstead Park,Finchley Road & Frognal,1,763,1529,17468.82111
Southgate,Temple,0,3660,6780,17469.29377
Temple,Southgate,0,349,874,17469.29377
Aldgate,Wembley Park,40,2886,5759,17469.6378
Wembley Park,Aldgate,130,7070,7782,17469.6378
New Cross,Hampstead Heath,0,1440,2792,17470.22914
Boston Manor,Russell Square,13,1181,5172,17470.40232
Russell Square,Boston Manor,1,1509,892,17470.40232
Hainault,Stepney Green,11,3117,1879,17470.76507
Stepney Green,Hainault,1,2731,356,17470.76507
Barbican,Wimbledon Park,0,1239,596,17470.92828
Wimbledon Park,Barbican,1,1664,9134,17470.92828
Canonbury,Gunnersbury,29,2410,4775,17471.39249
Gunnersbury,Canonbury,1,2274,846,17471.39249
Bow Road,Brent Cross,0,4005,450,17471.51764
Brent Cross,Bow Road,1,1494,1193,17471.51764
Gunnersbury,Whitechapel,13,2274,17633,17474.20885
Whitechapel,Gunnersbury,55,12281,4775,17474.20885
Paddington,Woodside Park,4,23381,745,17475.84853
Woodside Park,Paddington,27,3093,20198,17475.84853
Green Park,Wanstead,0,2066,419,17476.75686
Wanstead,Green Park,14,1985,26754,17476.75686
Hanger Lane,Tower Hill,3,1996,8286,17478.01685
Tower Hill,Hanger Lane,3,8501,1493,17478.01685
Neasden,Stepney Green,0,2333,1879,17478.65046
Stepney Green,Neasden,0,2731,732,17478.65046
Gloucester Road,West Finchley,0,4779,91,17478.74833
West Finchley,Gloucester Road,4,1550,5194,17478.74833
Dollis Hill,Harrow & Wealdstone,1,2542,1335,17478.81133
Aldgate,Southgate,1,2886,874,17479.25552
Southgate,Aldgate,41,3660,7782,17479.25552
Hanger Lane,Liverpool Street,112,1996,61122,17479.78909
Liverpool Street,Hanger Lane,48,31473,1493,17479.78909
West Acton,Clapham North,1,1172,1238,17479.92109
Canada Water,North Acton,50,27026,3168,17479.98649
North Acton,Canada Water,9,3078,20443,17479.98649
Hammersmith,Northolt,5,11818,663,17481.33634
Northolt,Hammersmith,48,3585,18250,17481.33634
Upney,Waterloo,21,1741,23466,17481.38749
Waterloo,Upney,2,67372,485,17481.38749
Barbican,Oakwood,0,1239,423,17481.44048
Oakwood,Barbican,14,1772,9134,17481.44048
Colliers Wood,Hammersmith,22,5553,18250,17481.68709
Hammersmith,Colliers Wood,0,11818,865,17481.68709
Canons Park,Great Portland Street,36,2315,6936,17483.90476
Great Portland Street,Canons Park,0,1136,526,17483.90476
Bethnal Green,Chiswick Park,1,6798,1517,17484.76002
Chiswick Park,Bethnal Green,0,1283,4660,17484.76002
Southfields,North Wembley,1,5219,365,17485.20766
Highbury & Islington,North Wembley,0,23714,365,17485.96998
North Wembley,Highbury & Islington,1,1087,25385,17485.96998
Ealing Common,Kentish Town,2,2003,3404,17486.1114
Kentish Town,Ealing Common,0,2414,915,17486.1114
Heathrow Terminal 4,Ravenscourt Park,0,811,1895,17486.74103
Ravenscourt Park,Heathrow Terminal 4,0,1554,693,17486.74103
East Acton,Golders Green,0,2356,1871,17487.07159
Golders Green,East Acton,0,4792,1505,17487.07159
Kentish Town West,Richmond,8,712,5397,17487.3863
Richmond,Kentish Town West,4,5157,1128,17487.3863
Tottenham Hale,West Kensington,8,8867,1345,17488.91719
West Kensington,Tottenham Hale,4,2715,3239,17488.91719
Hornchurch,Stratford,31,1708,55954,17488.96093
Stratford,Hornchurch,4,59311,451,17488.96093
Borough,Wembley Park,0,1346,5759,17489.3694
Wembley Park,Borough,3,7070,3254,17489.3694
Redbridge,Tottenham Court Road,38,2062,19126,17490.20796
Tottenham Court Road,Redbridge,0,1773,198,17490.20796
Ealing Broadway,Ickenham,0,12853,282,17490.33285
Ickenham,Ealing Broadway,3,737,4846,17490.33285
Plaistow,Westbourne Park,4,3634,1347,17491.13465
Westbourne Park,Plaistow,0,2416,1049,17491.13465
Caledonian Road,Colliers Wood,1,2839,865,17491.88072
Colliers Wood,Caledonian Road,4,5553,1803,17491.88072
Euston,Redbridge,0,17796,198,17492.17884
Redbridge,Euston,7,2062,16800,17492.17884
Gloucester Road,Leyton,1,4779,1447,17492.99115
Leyton,Gloucester Road,14,7651,5194,17492.99115
Caledonian Road,Edgware,0,2839,772,17493.0375
Edgware,Caledonian Road,3,3405,1803,17493.0375
Arsenal,Tooting Broadway,1,2158,4506,17493.46761
Tooting Broadway,Arsenal,1,9546,315,17493.46761
Northfields,St. Paul's,32,2952,13446,17493.75077
St. Paul's,Northfields,0,878,864,17493.75077
Chalk Farm,Ealing Broadway,3,2391,4846,17494.15789
Ealing Broadway,Chalk Farm,1,12853,1329,17494.15789
Boston Manor,Finchley Road,0,1181,3417,17495.3628
Finchley Road,Boston Manor,0,4738,892,17495.3628
Upney,Woodford,4,1741,706,17495.37264
Woodford,Upney,2,4868,485,17495.37264
Queensway,Walthamstow Central,4,2714,5271,17495.9706
Walthamstow Central,Queensway,37,17499,1882,17495.9706
Wembley Central,Wimbledon Park,0,2246,596,17496.70099
Wimbledon Park,Wembley Central,0,1664,1327,17496.70099
Barbican,North Wembley,0,1239,365,17496.8932
North Wembley,Barbican,3,1087,9134,17496.8932
Arnos Grove,Pimlico,16,3046,5585,17497.06841
Pimlico,Arnos Grove,1,3917,748,17497.06841
Vauxhall,West Finchley,1,16218,91,17497.56286
West Finchley,Vauxhall,13,1550,16242,17497.56286
Maida Vale,Northwick Park,1,2142,1713,17497.59029
Northwick Park,Maida Vale,0,2114,949,17497.59029
Surrey Quays,Willesden Junction,0,3443,4165,17497.6307
Willesden Junction,Surrey Quays,0,5266,1005,17497.6307
Kenton,Oxford Circus,8,1049,44368,17498.74861
Oxford Circus,Kenton,0,2784,768,17498.74861
King's Cross St. Pancras,Kenton,0,28307,768,17500.69922
Stonebridge Park,Whitechapel,2,1482,17633,17501.21414
Whitechapel,Stonebridge Park,0,12281,729,17501.21414
East Finchley,Harlesden,0,5840,1668,17502.33849
Harlesden,East Finchley,0,1500,1253,17502.33849
Burnt Oak,St. James's Park,34,3021,13339,17502.94425
St. James's Park,Burnt Oak,0,1809,649,17502.94425
Hendon Central,Ladbroke Grove,2,4059,2131,17503.6427
Ladbroke Grove,Hendon Central,2,2371,1878,17503.6427
Debden,Mile End,16,1636,3759,17507.31499
Mile End,Debden,7,7145,865,17507.31499
Canning Town,Hornchurch,6,21125,451,17510.53216
Hornchurch,Canning Town,16,1708,15428,17510.53216
Hampstead,Southfields,0,1914,1351,17512.48046
Southfields,Hampstead,2,5219,2010,17512.48046
Buckhurst Hill,Liverpool Street,197,1616,61122,17513.18337
Liverpool Street,Buckhurst Hill,6,31473,228,17513.18337
Ealing Broadway,Mansion House,24,12853,7815,17513.73472
Mansion House,Ealing Broadway,1,516,4846,17513.73472
Queen's Park,Mill Hill East,2,5249,681,17513.98974
Hounslow West,Sudbury Hill,1,2073,277,17515.31553
Sudbury Hill,Hounslow West,3,1337,401,17515.31553
Bromley-by-Bow,Hammersmith,21,2555,18250,17515.87277
Hammersmith,Bromley-by-Bow,2,11818,1613,17515.87277
Goldhawk Road,Wembley Park,6,1347,5759,17516.11849
Wembley Park,Goldhawk Road,7,7070,370,17516.11849
Clapham North,Wood Green,1,2846,2146,17516.98173
Wood Green,Clapham North,4,6667,1238,17516.98173
Hyde Park Corner,Northwick Park,0,259,1713,17517.92659
Northwick Park,Hyde Park Corner,1,2114,2410,17517.92659
Barking,Roding Valley,1,8200,84,17520.50729
Roding Valley,Barking,1,407,7004,17520.50729
Kentish Town West,Woodgrange Park,0,712,242,17521.66008
Woodgrange Park,Kentish Town West,0,530,1128,17521.66008
Hounslow Central,South Harrow,4,2213,387,17521.6975
South Harrow,Hounslow Central,11,1516,708,17521.6975
Holland Park,Hounslow Central,0,1542,708,17522.2982
Hounslow Central,Holland Park,0,2213,2063,17522.2982
Forest Hill,Homerton,1,2430,1998,17522.39414
Homerton,Forest Hill,1,3501,608,17522.39414
Barking,Goodge Street,8,8200,6457,17522.83134
Goodge Street,Barking,1,366,7004,17522.83134
Hounslow Central,Knightsbridge,38,2213,6821,17523.3291
Knightsbridge,Hounslow Central,4,1125,708,17523.3291
Southgate,Whitechapel,5,3660,17633,17523.41076
Whitechapel,Southgate,0,12281,874,17523.41076
Highams Park,Hoxton,0,2941,2181,17524.44165
Finchley Road,Wimbledon Park,0,4738,596,17524.53903
Wimbledon Park,Finchley Road,1,1664,3417,17524.53903
Barking,St. James's Park,103,8200,13339,17525.20138
St. James's Park,Barking,7,1809,7004,17525.20138
Brockley,Gospel Oak,3,2322,2025,17525.51926
Gospel Oak,Brockley,0,1085,468,17525.51926
Russell Square,South Woodford,0,1509,766,17525.71586
South Woodford,Russell Square,4,4138,5172,17525.71586
Tooting Broadway,Westbourne Park,3,9546,1347,17526.13055
Westbourne Park,Tooting Broadway,1,2416,4506,17526.13055
Edgware,Marble Arch,16,3405,6145,17528.65991
Marble Arch,Edgware,0,1808,772,17528.65991
Burnt Oak,Lambeth North,3,3021,1319,17531.54776
Lambeth North,Burnt Oak,1,1114,649,17531.54776
Heathrow Terminals 2 & 3,Park Royal,4,2199,1552,17531.72803
Park Royal,Heathrow Terminals 2 & 3,4,559,2406,17531.72803
Buckhurst Hill,Tower Hill,15,1616,8286,17531.72811
Tower Hill,Buckhurst Hill,0,8501,228,17531.72811
Edgware Road,West Harrow,0,2841,122,17533.72106
West Harrow,Edgware Road,6,1021,6868,17533.72106
Arnos Grove,Westbourne Park,3,3046,1347,17534.1694
Westbourne Park,Arnos Grove,1,2416,748,17534.1694
Hackney Wick,Kensington,9,1477,2252,17535.14317
Kensington,Hackney Wick,0,432,1263,17535.14317
Blackhorse Road,High Street Kensington,20,8485,5427,17535.87532
High Street Kensington,Blackhorse Road,0,2159,2955,17535.87532
Oakwood,Tottenham Court Road,7,1772,19126,17536.52877
Tottenham Court Road,Oakwood,0,1773,423,17536.52877
Harringay Green Lanes,North Wembley,0,507,365,17540.08673
North Wembley,Harringay Green Lanes,0,1087,544,17540.08673
Archway,Gunnersbury,2,5642,4775,17542.40146
Gunnersbury,Archway,0,2274,2193,17542.40146
Boston Manor,Wimbledon Park,0,1181,596,17543.12095
Wimbledon Park,Boston Manor,1,1664,892,17543.12095
Walthamstow Central,Willesden Junction,7,17499,4165,17543.61862
Willesden Junction,Walthamstow Central,0,5266,5271,17543.61862
Holloway Road,Redbridge,0,3047,198,17543.76195
Redbridge,Holloway Road,2,2062,1696,17543.76195
Canary Wharf,Chigwell,0,14632,148,17544.87657
Chigwell,Canary Wharf,25,471,58772,17544.87657
Neasden,Putney Bridge,5,2333,2494,17545.88816
Putney Bridge,Neasden,0,2950,732,17545.88816
Cockfosters,Euston Square,1,1000,8093,17545.98912
Euston Square,Cockfosters,0,4926,262,17545.98912
Mansion House,Woodside Park,0,516,745,17546.63617
Woodside Park,Mansion House,7,3093,7815,17546.63617
Farringdon,Kew Gardens,0,5052,792,17546.70907
Kew Gardens,Farringdon,4,2241,25592,17546.70907
Bond Street,Northolt,4,2038,663,17547.20873
Northolt,Bond Street,69,3585,20967,17547.20873
Barking,Oval,9,8200,2544,17548.32603
Oval,Barking,4,3619,7004,17548.32603
Clapham North,Leytonstone,0,2846,1844,17548.66532
Leytonstone,Clapham North,3,6690,1238,17548.66532
Fulham Broadway,Hounslow West,1,3289,401,17550.29385
Hounslow West,Fulham Broadway,10,2073,4200,17550.29385
Greenford,Kilburn Park,0,2711,823,17551.12082
Kilburn Park,Greenford,0,1886,1157,17551.12082
Arnos Grove,South Kensington,35,3046,15325,17552.24866
South Kensington,Arnos Grove,2,5030,748,17552.24866
Neasden,Walthamstow Central,3,2333,5271,17552.79141
Walthamstow Central,Neasden,4,17499,732,17552.79141
Canons Park,Northwood,7,2315,1018,17554.77657
Northwood,Canons Park,4,2027,526,17554.77657
Kensal Rise,Stratford,39,1941,55954,17555.22287
Stratford,Kensal Rise,92,59311,1376,17555.22287
Bethnal Green,Fairlop,5,6798,182,17555.23093
Fairlop,Bethnal Green,15,995,4660,17555.23093
Balham,East Acton,1,9619,1505,17555.61732
East Acton,Balham,0,2356,3814,17555.61732
Belsize Park,Wembley Park,0,2744,5759,17556.11609
Wembley Park,Belsize Park,0,7070,2255,17556.11609
South Ealing,Willesden Green,0,2176,830,17556.51038
Willesden Green,South Ealing,0,5675,670,17556.51038
Barking,Manor House,0,8200,1311,17557.29827
Manor House,Barking,0,5459,7004,17557.29827
North Wembley,Pimlico,1,1087,5585,17557.50533
Pimlico,North Wembley,0,3917,365,17557.50533
Belsize Park,Hanger Lane,0,2744,1493,17558.15524
Hanger Lane,Belsize Park,1,1996,2255,17558.15524
Park Royal,Stockwell,0,559,1623,17558.51702
Stockwell,Park Royal,6,10667,1552,17558.51702
Kensal Rise,Leyton Midland Road,2,1941,445,17560.03216
Leyton Midland Road,Kensal Rise,4,850,1376,17560.03216
Hainault,Upton Park,4,3117,1642,17560.91495
Upton Park,Hainault,2,5963,356,17560.91495
Finsbury Park,Gants Hill,2,24735,601,17562.04388
Gants Hill,Finsbury Park,8,5243,6769,17562.04388
Clapham South,North Acton,6,6636,3168,17563.50203
North Acton,Clapham South,0,3078,1513,17563.50203
Hampstead,Leyton,0,1914,1447,17563.97917
Leyton,Hampstead,4,7651,2010,17563.97917
Kentish Town,Kew Gardens,0,2414,792,17564.54526
Kew Gardens,Kentish Town,2,2241,3404,17564.54526
Plaistow,West Hampstead,2,3634,5856,17564.61254
West Hampstead,Plaistow,0,10371,1049,17564.61254
Loughton,Whitechapel,50,2730,17633,17564.63446
Whitechapel,Loughton,6,12281,655,17564.63446
Belsize Park,Southgate,0,2744,874,17565.73381
Southgate,Belsize Park,15,3660,2255,17565.73381
Manor House,Turnham Green,7,5459,1515,17566.68498
Turnham Green,Manor House,0,3650,1311,17566.68498
Tufnell Park,Wembley Park,2,2742,5759,17566.80465
Wembley Park,Tufnell Park,0,7070,557,17566.80465
Holland Park,Sudbury Hill,0,1542,277,17567.45738
Sudbury Hill,Holland Park,1,1337,2063,17567.45738
Kilburn Park,North Greenwich,2,1886,6276,17567.81179
North Greenwich,Kilburn Park,6,10931,823,17567.81179
Hanger Lane,Tufnell Park,0,1996,557,17568.8438
Tufnell Park,Hanger Lane,2,2742,1493,17568.8438
Canonbury,Penge West,2,2410,150,17569.58754
Penge West,Canonbury,1,362,846,17569.58754
Canary Wharf,Stamford Brook,5,14632,784,17570.85941
Stamford Brook,Canary Wharf,45,1837,58772,17570.85941
Bayswater,Hounslow Central,1,1571,708,17572.61298
Hounslow Central,Bayswater,1,2213,615,17572.61298
Haggerston,Stonebridge Park,0,2049,729,17572.70178
Stonebridge Park,Haggerston,0,1482,1184,17572.70178
Redbridge,Westminster,23,2062,15466,17576.30102
Westminster,Redbridge,0,1519,198,17576.30102
Southgate,Tufnell Park,0,3660,557,17576.42237
Tufnell Park,Southgate,0,2742,874,17576.42237
Ealing Common,Wembley Park,1,2003,5759,17576.88333
Wembley Park,Ealing Common,1,7070,915,17576.88333
Northwick Park,South Ealing,0,2114,670,17578.5764
South Ealing,Northwick Park,0,2176,1713,17578.5764
Mansion House,Northfields,0,516,864,17578.99094
Northfields,Mansion House,21,2952,7815,17578.99094
Kensington,Wood Green,0,432,2146,17580.33813
Wood Green,Kensington,0,6667,2252,17580.33813
Dagenham Heathway,Liverpool Street,41,3372,61122,17580.69227
Liverpool Street,Dagenham Heathway,15,31473,1108,17580.69227
Hatch End,South Hampstead,3,848,236,17583.62042
South Hampstead,Hatch End,0,248,93,17583.62042
Elephant & Castle,Park Royal,12,9325,1552,17584.2792
Park Royal,Elephant & Castle,1,559,6427,17584.2792
Redbridge,Becontree,0,2062,456,17584.43939
Highgate,Turnham Green,0,4589,1515,17585.28826
Turnham Green,Highgate,1,3650,856,17585.28826
Chancery Lane,Gants Hill,3,1148,601,17585.40635
Gants Hill,Chancery Lane,127,5243,15391,17585.40635
Edgware Road,Northolt,0,2841,663,17586.19832
Northolt,Edgware Road,10,3585,6868,17586.19832
Kensington,Hounslow West,0,432,401,17586.83396
Royal Oak,Sudbury Hill,0,1409,277,17587.12928
Sudbury Hill,Royal Oak,2,1337,856,17587.12928
Clapham North,South Ealing,0,2846,670,17588.06838
South Ealing,Clapham North,0,2176,1238,17588.06838
Bromley-by-Bow,Debden,1,2555,865,17588.06865
Debden,Bromley-by-Bow,4,1636,1613,17588.06865
East Finchley,Willesden Green,0,5840,830,17589.60635
Willesden Green,East Finchley,0,5675,1253,17589.60635
Turnham Green,Wembley Park,0,3650,5759,17590.88728
Wembley Park,Turnham Green,1,7070,1515,17590.88728
Moorgate,Newbury Park,0,4416,559,17591.0722
Newbury Park,Moorgate,8,4212,24574,17591.0722
Aldgate East,Woodside Park,1,3172,745,17592.2687
Woodside Park,Aldgate East,11,3093,7932,17592.2687
Alperton,Covent Garden,8,1624,4355,17592.37873
Covent Garden,Alperton,0,424,741,17592.37873
Hackney Wick,Sydenham,0,1477,515,17594.14875
Sydenham,Hackney Wick,2,1826,1263,17594.14875
Hendon Central,West Kensington,2,4059,1345,17594.56267
West Kensington,Hendon Central,1,2715,1878,17594.56267
Tower Hill,Wembley Park,4,8501,5759,17595.85601
Wembley Park,Tower Hill,12,7070,8286,17595.85601
Bow Road,Willesden Junction,0,4005,4165,17596.4009
Willesden Junction,Bow Road,0,5266,1193,17596.4009
Clapham North,Wimbledon,0,2846,6295,17596.76754
Wimbledon,Clapham North,0,7073,1238,17596.76754
Hanger Lane,Highbury & Islington,9,1996,25385,17597.90103
Highbury & Islington,Hanger Lane,17,23714,1493,17597.90103
Shepherd's Bush,South Tottenham,0,10511,552,17599.74786
South Tottenham,Shepherd's Bush,1,420,9890,17599.74786
Lancaster Gate,Northwick Park,0,3514,1713,17600.19679
Northwick Park,Lancaster Gate,0,2114,1820,17600.19679
Chancery Lane,Edgware,0,1148,772,17600.75587
Edgware,Chancery Lane,35,3405,15391,17600.75587
Embankment,Northwick Park,0,4081,1713,17603.44015
Northwick Park,Embankment,6,2114,10220,17603.44015
